,Language Example,Language index
0,"भारतीय स्वातन्त्र्य आन्दोलन राष्ट्रीय एवम क्षेत्रीय आह्वान, उत्तेजनासभ एवम प्रयत्नसँ प्रेरित, भारतीय",mai
1,ถนนเจริญกรุง (อักษรโรมัน: Thanon Charoen Krung) เริ่มตั้งแต่ถนนสนามไชยถึงแม่น้ำเจ้าพระยาที่ถนนตก กรุ,tha
2,براعظم ایشیاء تے یورپ اتے پھیلے ہوئے دیس ترکی دے 81 صوبے نیں ۔ اس دے بوہتے صوبےآں دے ناں اس صوبے دے ,pnb
3,Суонси бла Мамблзны темир джолу (ингил. Swansea and Mumbles Railway) — дунияда регуляр пассажир ташы,krc
4,"Barilla est un'impresa murtinassionale italiana de su setore alimentàriu, lìdera mundiale in su merc",srd
5,"Sa Noa Zelanda (in inglesu: New Zealand, in maori: Aotearoa) est un'istadu de s'Otzeània, in su sud-",srd
6,"«Расизм» сёз бирични Ларуссну сёзлюгюнде 1932 джыл тюбейди, эмда «бир раса къауумну башханы аллында ",krc
7,"Mens Harrison forberedte sin 1974-turne i Los Angeles, innviet han kontorene til sitt nye plateselsk",nob
8,"Tetun foufoun loos mak tetun-terik, Timór oan sira ko'alia tiha ona lian ne'e uluk kedas ona antes p",tet
9,การฟาดฟันของบรรดาสาวงามในกองประกวด Miss Beauty And Talent Thailand ว่าร้อนแรงแล้ว การแข่งขัน ระหว่าง,tha
10,1943 джылны сентябрында ингилиз-американ аскерле Аппенин джарымайрымканны къыбыласына киредиле. Бадо,krc
11,На лініі Слуцак — Старыя Дарогі працавалі тры аўтобусы N.A.G.(en). Да Ляхавічаў пасажыры перавозіліс,be-tarask
12,Indias utøvere konkurrerte først under det olympiske flagget. Den 11. februar 2014 opphevet IOK med ,nob
13,"Gràtzias a is duas marcature realizadas su 24 ghennàrgiu 2015 contra de s'Elche, devennet su primu e",srd
14,Marí Alkatiri remata nia eskola primária no sekundária iha Dili. Nia sai husi Dili iha 1970 hodi kon,tet
15,Ганна Марыя Тэрэса Чартарыская гербу уласнага Чартарыскі (адмена гербу Пагоня літоўская) (па-польску,be-tarask
16,In 1978 Johnson was awarded an American Institute of Architects Gold Medal. In 1979 he became the fi,eng
17,Bussy-Saint-Georges has built its identity on a green model environment with parks and gardens. They,eng
18,"Цы Сі (па-кітайску: 慈禧皇太后; 29 лістапада 1835 — 15 лістапада 1908, Пэкін) — маньчжурская імпэратрыца,",be-tarask
19,رابرٹ فراسٹ دا بچپن کیلیفورنیا وچّ گزریا سی، اوہ شہر دا جم-پل سی۔ نیو انگلینڈ دے علاقے وچّ جیون دے و,pnb
20,"अङ्ग्रेजी एक पश्चिम-जर्मनिक भाषा अछि । प्रारम्भमे, ई मात्र इङ्ल्यान्डमे बाजल जाइत छल, मुदा अखन ई विश",mai
21,ایشیاء دے دیس ایران دے صوبے ہور اگے شہرستان ناں دی انتظامی اکائی چ ونڈے ہوے نیں ، شہرستان تقریبا اک ,pnb
22,کھنڈ دی عالمی دی منگ گنے کھیتی لئی پرائمری ڈرائیور اے۔ 80% کھنڈ دا پیداوار کرن لئی Cane کھاتیاں؛ زیا,pnb
23,У футбол пачаў гуляць на радзіме. У 2006 годзе быў запрыкмечаны сэлекцыянэрамі ангельскага клюбу «Бо,be-tarask
24,Balibar (iha lia-portugés: Balibar) suku ida iha Timór Lorosa'e nian. Suku ne'e iha postu administra,tet
25,"फिलीपीनी पेसो, जेकर पूर्व नाम पेसो (अंग्रेजी उच्चारण:/psoso /, / pisoʊ /; फिलिपिनो: पिसो या प्सो; सा",mai
26,"1849—1854 дждж. Шарль Бурсель, инженер-механик эм париж телеграфны вице-инспектору, телефонлашыуну и",krc
27,"Sa Colònia istiale in Itàlia naschet in su 1822 a initziativa de s'Ispidale de Luca, chi amàniat in ",srd
28,"Къазауатда хорламдан сора СССР-ни экономикасыны демилитаризациясы бардырылады, оккупациядан заран кё",krc
29,"Аны атасы, Джон Шекспир, бай санагъатчы болгъанды, тюрлю-тюрлю джамагъат къуллукълагъа сайланнганлай",krc
30,"Titsingh, I. (1822). Illustrations of Japan; consisting of Private Memoirs and Anecdotes of the reig",tha
31,ประเทศญี่ปุ่นออกอากาศทางช่อง สถานีโทรทัศน์นิปปอน ทุกวันเสาร์ เวลา 17.30-18.00 น. (ตามเวลาประเทศญี่ปุ,tha
32,"Къытайда японлула 1939-1941 джыллада къралны къыбыла-кюнчыгъыш кесегин кючлегендиле. Къытай, къыйын ",krc
33,У гады 1-й сусьветнай вайны (1914—1918) узрастае лік перасяленцаў з Мэксыкі і іншых краін Лацінскай ,be-tarask
34,†कोंकण रेलवे भारतीय रेलके एकटा अनुषाङ्गिक इकाईके रूपमे परन्तु स्वायत्त रूपसँ परिचालित होमएवला रेल व्,mai
35,"Bertrand Russell er hovedpersonen i tegneserien Logicomix: An Epic Search for Truth, som ble utgitt ",nob
36,Minnesota's state parks are spread across the state in such a way that there is a state park within ,eng
